,Country,X1970,X1971,X1972,X1973,X1974,X1975,X1976,X1977,X1978,X1979,X1980,X1981,X1982,X1983,X1984,X1985,X1986,X1987,X1988,X1989,X1990,X1991,X1992,X1993,X1994,X1995,X1996,X1997,X1998,X1999,X2000,X2001,X2002,X2003,X2004,X2005,X2006,X2007,X2008,X2009,X2010,X2011,X2012,X2013,X2014,X2015,X2016
35,Cameroon,6527635 ,6697745 ,6875228 ,7060603 ,7254468 ,7457362 ,7669445 ,7890969 ,8122529 ,8364835 ,8618354 ,8883016 ,9158566 ,9445003 ,9742263 ,10050023 ,10368300 ,10696274 ,11031817 ,11372160 ,11715218 ,12060729 ,12408931 ,12758881 ,13109660 ,13460994 ,13812472 ,14165423 ,14523570 ,14891891 ,15274234 ,15671927 ,16084886 ,16513822 ,16959081 ,17420795 ,17899562 ,18395389 ,18907008 ,19432541 ,19970495 ,20520447 ,21082383 ,21655715 ,22239904 ,22834522 ,23439189 
36,Canada,21452737 ,21804269 ,22156208 ,22503243 ,22838190 ,23156209 ,23456507 ,23741589 ,24014082 ,24278047 ,24537422 ,24791139 ,25040948 ,25296840 ,25571673 ,25873949 ,26208080 ,26569766 ,26947842 ,27326166 ,27692680 ,28044606 ,28384350 ,28711303 ,29026188 ,29330073 ,29622132 ,29903150 ,30178134 ,30453884 ,30735773 ,31024732 ,31320889 ,31627806 ,31949417 ,32287980 ,32645483 ,33019932 ,33404548 ,33789831 ,34168668 ,34538622 ,34900705 ,35255495 ,35604728 ,35949709 ,36289822 
37,Cayman Islands,9144 ,9581 ,10136 ,10784 ,11498 ,12244 ,13022 ,13841 ,14661 ,15444 ,16162 ,16789 ,17356 ,17906 ,18543 ,19313 ,20251 ,21339 ,22538 ,23776 ,25010 ,26213 ,27404 ,28646 ,30055 ,31672 ,33536 ,35597 ,37740 ,39808 ,41687 ,43316 ,44738 ,46028 ,47299 ,48622 ,50031 ,51483 ,52926 ,54279 ,55507 ,56579 ,57523 ,58371 ,59172 ,59963 ,60765 
38,Central African Republic,1828709 ,1864598 ,1900317 ,1936841 ,1975521 ,2017372 ,2062405 ,2110457 ,2162249 ,2218575 ,2279821 ,2346797 ,2418844 ,2493135 ,2565803 ,2634232 ,2696982 ,2755244 ,2812244 ,2872668 ,2939780 ,3014624 ,3095807 ,3181222 ,3267670 ,3352767 ,3435821 ,3517309 ,3597385 ,3676508 ,3754986 ,3832203 ,3907612 ,3981665 ,4055036 ,4127910 ,4201758 ,4275800 ,4345386 ,4404230 ,4448525 ,4476153 ,4490416 ,4499653 ,4515392 ,4546100 ,4594621 
39,Chad,3643549 ,3726091 ,3815103 ,3907632 ,3999512 ,4087948 ,4172230 ,4253989 ,4335645 ,4420716 ,4512042 ,4610167 ,4715197 ,4829094 ,4954046 ,5091535 ,5243006 ,5408087 ,5584339 ,5768086 ,5956859 ,6150081 ,6349089 ,6555603 ,6772133 ,7000722 ,7241134 ,7493251 ,7759258 ,8041846 ,8342559 ,8663012 ,9001689 ,9353201 ,9710043 ,10067009 ,10421597 ,10775708 ,11133861 ,11502786 ,11887202 ,12288651 ,12705135 ,13133589 ,13569438 ,14009413 ,14452543 
40,Chile,9563865 ,9745189 ,9922558 ,10096295 ,10267056 ,10435534 ,10601836 ,10766419 ,10930783 ,11096868 ,11266226 ,11439144 ,11615836 ,11797534 ,11985658 ,12181028 ,12384108 ,12594145 ,12809025 ,13025797 ,13242132 ,13457244 ,13671033 ,13882668 ,14091389 ,14296613 ,14497826 ,14694835 ,14887756 ,15076952 ,15262754 ,15444969 ,15623635 ,15799542 ,15973778 ,16147064 ,16319792 ,16491687 ,16661942 ,16829442 ,16993354 ,17153357 ,17309746 ,17462982 ,17613798 ,17762681 ,17909754 
41,China,824788457 ,845481578 ,865686530 ,885145933 ,903613538 ,920945083 ,937018252 ,951927444 ,966039822 ,979880619 ,993877310 ,1008000152 ,1022253396 ,1037123834 ,1053210735 ,1070863389 ,1090348056 ,1111341725 ,1132866344 ,1153565894 ,1172445200 ,1189183522 ,1204003901 ,1217129133 ,1228991932 ,1239940004 ,1249981441 ,1259066974 ,1267441503 ,1275406699 ,1283198970 ,1290937649 ,1298646577 ,1306343911 ,1314007478 ,1321623490 ,1329209094 ,1336800506 ,1344415227 ,1352068091 ,1359755102 ,1367480264 ,1375198619 ,1382793212 ,1390110388 ,1397028553 ,1403500365 
42,Hong Kong,3873112 ,3937829 ,3998312 ,4062042 ,4139096 ,4236002 ,4356575 ,4496871 ,4646177 ,4789320 ,4915467 ,5020488 ,5107909 ,5183912 ,5258161 ,5337622 ,5424517 ,5516357 ,5609691 ,5699221 ,5781459 ,5854088 ,5919289 ,5983355 ,6055086 ,6140101 ,6241810 ,6356470 ,6473836 ,6579564 ,6663654 ,6722306 ,6759491 ,6782571 ,6802597 ,6827761 ,6860376 ,6898397 ,6940323 ,6983272 ,7025221 ,7065815 ,7106399 ,7148571 ,7194563 ,7245701 ,7302843 
43,"Macao SAR, China",246195 ,248739 ,248767 ,246947 ,244284 ,241628 ,239085 ,236695 ,235198 ,235479 ,238118 ,243427 ,251219 ,260997 ,271993 ,283581 ,295677 ,308275 ,320877 ,332901 ,343935 ,353764 ,362459 ,370345 ,377960 ,385686 ,393567 ,401564 ,409837 ,418604 ,427979 ,438081 ,448896 ,460147 ,471453 ,482559 ,493320 ,503823 ,514348 ,525313 ,536969 ,549439 ,562531 ,575841 ,588781 ,600942 ,612167 
44,Colombia,22061215 ,22611986 ,23146803 ,23674504 ,24208021 ,24756973 ,25323406 ,25905127 ,26502166 ,27113512 ,27737900 ,28375991 ,29027162 ,29687094 ,30350086 ,31011688 ,31669776 ,32324325 ,32975535 ,33624444 ,34271565 ,34916766 ,35558682 ,36195168 ,36823537 ,37441977 ,38049038 ,38645411 ,39234062 ,39819279 ,40403958 ,40988909 ,41572491 ,42152151 ,42724163 ,43285634 ,43835722 ,44374572 ,44901544 ,45416181 ,45918097 ,46406646 ,46881475 ,47342981 ,47791911 ,48228697 ,48653419 
45,Comoros,230054 ,234644 ,239235 ,244208 ,250104 ,257290 ,265953 ,275900 ,286634 ,297447 ,307829 ,317606 ,326946 ,336096 ,345466 ,355337 ,365760 ,376654 ,387963 ,399632 ,411594 ,423872 ,436448 ,449274 ,462277 ,475394 ,488627 ,501953 ,515385 ,528848 ,542357 ,555888 ,569479 ,583211 ,597228 ,611627 ,626425 ,641620 ,657229 ,673252 ,689692 ,706569 ,723868 ,741500 ,759385 ,777424 ,795601 
46,Congo,1364812 ,1406643 ,1450518 ,1496047 ,1542690 ,1590039 ,1637941 ,1686524 ,1736099 ,1787129 ,1839935 ,1894676 ,1951195 ,2009165 ,2068132 ,2127770 ,2188046 ,2249146 ,2311348 ,2375008 ,2440457 ,2507772 ,2577035 ,2648507 ,2722497 ,2799255 ,2879222 ,2962470 ,3048453 ,3136344 ,3225727 ,3315806 ,3407180 ,3502519 ,3605439 ,3718243 ,3842365 ,3976246 ,4115435 ,4253712 ,4386693 ,4512730 ,4633363 ,4751393 ,4871101 ,4995648 ,5125821 
47,Cook Islands,21405 ,21510 ,21422 ,21176 ,20810 ,20349 ,19812 ,19196 ,18570 ,18028 ,17638 ,17430 ,17387 ,17466 ,17594 ,17733 ,17851 ,17970 ,18080 ,18211 ,18356 ,18528 ,18714 ,18869 ,18963 ,18956 ,18815 ,18569 ,18295 ,18124 ,18122 ,18322 ,18702 ,19148 ,19522 ,19710 ,19696 ,19511 ,19212 ,18868 ,18545 ,18257 ,17996 ,17767 ,17588 ,17449 ,17379 
