,Country,X1970,X1971,X1972,X1973,X1974,X1975,X1976,X1977,X1978,X1979,X1980,X1981,X1982,X1983,X1984,X1985,X1986,X1987,X1988,X1989,X1990,X1991,X1992,X1993,X1994,X1995,X1996,X1997,X1998,X1999,X2000,X2001,X2002,X2003,X2004,X2005,X2006,X2007,X2008,X2009,X2010,X2011,X2012,X2013,X2014,X2015,X2016
189,Syria,276.4957247,313.8957526,350.1435692,362.3265113,561.5681179,704.7126286,819.5944273,867.3030721,1005.658515,1168.3049,1472.006105,1822.778453,1839.158627,1890.819338,1876.845387,943.8118625,885.6504466,896.5299193,1018.890971,852.0536852,896.9557688,971.2197294,1095.392042,1146.749317,889.7765044,944.3191143,1026.708983,1066.238375,1119.609061,1111.778568,1198.336453,1252.964313,1274.705738,1197.659192,1378.463951,1552.205537,1750.402099,2051.249403,2585.818828,2598.416003,2876.711053,2644.413676,1961.60183,1598.586565,1774.551838,1514.731575,1202.524708
190,Tajikistan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,538.2356272,505.460952,360.2400883,303.3045127,240.1030198,211.3280042,176.5185857,153.6446544,216.8169522,175.7522265,138.4584862,170.8357537,189.3754347,236.4381216,309.2743159,337.3593239,404.2753922,520.0275201,706.0784518,666.3315957,738.3471662,834.5443123,954.718846,1040.155801,1104.50038,918.8094298,795.8464035
191,Macedonia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1459.391824,1462.876258,1377.411672,1493.653127,1796.238788,2373.389563,2333.317161,1956.889875,1871.582767,1908.525906,1854.150906,1815.92457,1961.196241,2408.79831,2762.594296,3037.759928,3325.612455,4036.143377,4793.291838,4543.889836,4542.899956,5064.039708,4698.697277,5211.499148,5469.210114,4840.321859,5163.247937
192,Thailand,199.9181089,202.1801679,217.8389934,280.8381099,345.6300918,365.8666797,407.421414,463.4616446,550.0271718,613.6891992,706.2788533,745.7062339,768.2405528,825.3510191,845.981422,773.223281,841.1944968,968.6955066,1161.67139,1339.512204,1560.534404,1765.024823,1994.662162,2204.318282,2485.975469,2840.691084,3037.96902,2463.201964,1842.173936,2029.451742,2003.683305,1889.29226,2096.056335,2358.933686,2659.841564,2893.650702,3368.95086,3972.206958,4378.685968,4212.061569,5075.297149,5491.160292,5859.920038,6171.263886,5941.833712,5814.854351,5910.623723
193,Timor-Leste,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,278.0225565,309.9761355,380.3762191,424.2889597,466.8512159,517.768516,601.4444798,562.274612,646.1368722,448.0295447,519.4806444,531.1404097,525.7198192,526.728185,1109.429822,1802.123876,2691.747145,2729.802603,4166.863871,3110.79001,3603.850559,5017.367376,5762.762986,4765.745372,3332.742699,2499.901271,2125.646008
194,Togo,145.3885868,158.5880896,179.5846011,204.5571341,267.5676621,288.562269,268.9371082,316.9579836,383.8587912,446.8752035,482.7883322,392.2927612,327.1211091,283.4120086,258.0869266,264.3380055,362.6245884,413.4221267,486.0473767,463.3892316,543.2031569,523.5256225,536.4177716,399.6409285,302.4075761,389.0717895,413.2477333,408.1909382,374.3915984,363.6747654,299.4116583,289.7512674,323.4671494,391.5667093,407.607239,401.27892,402.4630506,443.3757709,537.2262008,531.6683909,526.8559528,579.013059,564.6971089,613.4401628,632.0660648,563.4753566,584.9386771
195,Tonga,202.6478683,226.4618326,269.3554843,395.3988596,525.2886918,481.2905782,441.1394335,495.378681,595.6100324,632.841571,848.1980066,876.0963265,910.415367,914.7358223,912.4518339,778.826509,929.932041,1115.406382,1533.300506,1597.160836,1703.335481,2047.907996,2017.835815,1988.677418,2029.012814,2115.452444,2286.376739,2200.979912,1949.207299,2001.629505,1929.803766,1692.17711,1829.490099,2078.114291,2370.214898,2588.547441,2868.31026,2979.594566,3320.147527,3148.281254,3590.216426,4286.303422,4436.896475,4181.528093,4118.135165,3777.581973,3747.692472
196,Trinidad and Tobago,868.9282056,937.6798161,1118.619078,1331.868883,2048.183315,2414.877208,2438.07365,3018.722573,3379.609076,4304.612227,5745.680798,6341.703583,7264.266253,6818.225731,6712.050615,6299.207438,4049.187445,4014.04712,3732.207398,3562.107229,4147.638923,4315.773469,4395.625499,3677.911514,3956.779107,4246.371982,4577.083504,4551.375691,4786.919669,5383.539875,6430.988221,6935.677688,7049.645415,8804.518666,10290.53854,12323.2102,14095.99073,16530.15372,21187.9821,14508.83656,16657.5874,19053.99195,19152.0451,19613.86798,20130.79317,19055.55277,17646.04184
197,Tunisia,312.2581653,357.6771659,464.6067058,554.6687781,704.3964052,840.8364198,856.0623206,948.4722367,1082.2322,1271.946521,1507.335859,1413.845097,1326.100774,1283.054465,1237.252637,1261.104668,1318.380433,1384.001436,1408.21945,1377.577772,1642.152961,1696.804308,1977.638564,1825.690817,1916.338321,2171.969485,2323.282521,2210.818748,2295.196534,2388.99434,2213.944713,2254.913668,2346.00236,2762.062031,3112.9161,3194.480169,3371.538453,3778.360077,4309.947274,4130.0538,4140.171468,4256.962733,4137.572376,4199.600307,4271.744607,3815.490967,3657.165169
198,Turkey,717.7499905,661.0221092,811.0015674,994.3515085,1339.542224,1635.676651,1828.595722,2038.743916,2200.789994,2937.32101,2153.508475,2173.764844,1930.514258,1803.726024,1716.383745,1883.717316,2079.58296,2348.21767,2402.680589,2783.298387,3846.706409,3791.424304,3928.514544,4383.980947,3124.436522,3985.289297,4203.818354,4329.566446,4496.084906,4108.295464,4316.426165,3119.633494,3660.005671,4718.503259,6040.727051,7384.351315,8034.868712,9709.4897,10850.68945,9036.50121,10672.05482,11341.13134,11720.30771,12542.93076,12127.22567,10984.77076,10862.6004
